Predictor,AUC
home_advantage,1
away_penalties,0.8178607178607179
home_penalties,0.7883900072579317
away_yards,0.7785394558979465
home_yards,0.7405208442944292
home_win,0.5522679013245051
away_points,0.5403211837174101
home_points,0.5324189418529042
total_penalties,0.5307798364402138
highpenalty,0.5167917243388942
humidity,0.5144931993988597
wind chill,0.5089277957202486
wind,0.5047697292980312
attendance,0.5034560166635639
total_experience,0.5029754822207653
temp,0.5018959660469094
