Predictor,pearson,spearman
NA,0.5396522426192435,0.5530984263272483
home_advantage,0.4674251548038393,0.4819479856173798
home_advantage,0.10558321590314439,0.10558321590314439
NA,0.0577793230875356,0.056137704037392565
home_advantage,0.04752944040255673,0.05338672345180362
NA,0.03663286157560631,0.03663286157560631
home_advantage,0.018459889241228666,0.026281166580930375
home_advantage,0.006172373247282674,0.005978639239464754
NA,1.254736448717963e-4,0.005000131131587235
NA,0.002991275525931081,0.00328046992300985
NA,-0.0075580892253492085,-0.005148768129516641
NA,-0.017463712272070872,-0.008275940409711075
home_advantage,-0.015784127020720774,-0.025077412383379225
home_advantage,-0.07704424397691144,-0.06983231008635307
NA,-0.40345700018555297,-0.416216996425691
home_advantage,-0.4914458178498192,-0.5021838509963371
