"","diff","lwr","upr","p adj"
"2000-1999",-0.696236144132087,-2.02971903322953,0.637246744965361,0.956691232544917
"2001-1999",-1.47896995708147,-2.8597495020011,-0.09819041216185,0.0207438769111493
"2002-1999",-0.65840258119513,-1.98756623085369,0.670761068463428,0.974814192811668
"2003-1999",-0.151629133111566,-1.49757863687206,1.19432037064892,0.999999999999833
"2004-1999",0.605492194312939,-0.760301852144617,1.97128624077049,0.992948901772297
"2005-1999",0.94779584217531,-0.395819993610518,2.29141167796114,0.593881633653845
"2006-1999",-1.28252867594316,-2.61276191263001,0.0477045607436861,0.0750758453790021
"2007-1999",-1.88945684846787,-3.23540635222836,-0.543507344707385,0.000110792167387852
"2008-1999",-2.09919467618294,-3.44514417994343,-0.753245172422446,5.53047962570385e-06
"2009-1999",-1.29092214831669,-2.65671619477425,0.0748718981408614,0.0920876584962712
"2010-1999",-1.14413849640767,-2.49008800016815,0.201811007352825,0.227888856745781
"2011-1999",-0.556123515134104,-1.90207301889459,0.789825988626386,0.997109504570338
"2012-1999",-0.992750875809483,-2.32085164507604,0.335349893457072,0.475053610608425
"2013-1999",-1.13290254135151,-2.478852045112,0.213046962408982,0.24430561421248
"2014-1999",-0.162865088167807,-1.5088145919283,1.18308441559268,0.999999999998264
"2015-1999",0.641348768017947,-0.724445278439609,2.0071428144755,0.986063839013731
"2016-1999",0.140505698349028,-1.20544380541146,1.48645520210952,1
"2017-1999",-0.158828614325493,-1.48692938359205,1.16927215494106,0.999999999998621
"2018-1999",0.0131648743789849,-1.3327846293815,1.35911437813947,1
"2019-1999",0.110543151532543,-1.23540635222795,1.45649265529303,1
"2001-2000",-0.782733812949388,-2.10559482453649,0.540127198637711,0.868019019832324
"2002-2000",0.0378335629369566,-1.23105772944488,1.3067248553188,1
"2003-2000",0.544607011020521,-0.741856813182051,1.83107083522309,0.996041918588455
"2004-2000",1.30172833844503,-0.00548338183891528,2.60894005872897,0.0525044092623934
"2005-2000",1.6440319863074,0.360009938800718,2.92805403381408,0.00093981344267291
"2006-2000",-0.586292531811074,-1.85630417281881,0.683719109196661,0.988558147377642
"2007-2000",-1.19322070433579,-2.47968452853836,0.0932431198667831,0.110628943625886
"2008-2000",-1.40295853205085,-2.68942235625342,-0.116494707848278,0.0160469850906064
"2009-2000",-0.594686004184608,-1.90189772446855,0.712525716099333,0.990373151464628
"2010-2000",-0.447902352275579,-1.73436617647815,0.838561471926993,0.99973813572824
"2011-2000",0.140112628997983,-1.14635119520459,1.42657645320055,1
"2012-2000",-0.296514731677396,-1.56429261349866,0.971263150143867,0.999999611393174
"2013-2000",-0.436666397219421,-1.72313022142199,0.849797426983151,0.99982111038916
"2014-2000",0.533371055964279,-0.753092768238292,1.81983488016685,0.996976973188273
"2015-2000",1.33758491215003,0.0303731918660926,2.64479663243397,0.0379051006420655
"2016-2000",0.836741842481114,-0.449721981721457,2.12320566668369,0.741981023170337
"2017-2000",0.537407529806593,-0.73037035201467,1.80518541162786,0.99597431191233
"2018-2000",0.709401018511072,-0.5770628056915,1.99586484271364,0.92732800424926
"2019-2000",0.806779295664629,-0.479684528537942,2.0932431198672,0.797101660476629
"2002-2001",0.820567375886345,-0.497939600976206,2.1390743527489,0.807641414684374
"2003-2001",1.32734082396991,-0.00808596441449172,2.66276761235431,0.0536488671448727
"2004-2001",2.08446215139441,0.729036750348502,3.43988755244033,8.57041236912437e-06
"2005-2001",2.42676579925678,1.0936910996859,3.75984049882767,1.82398293135932e-08
"2006-2001",0.196441281138314,-1.12314392052467,1.5160264828013,0.999999999903484
"2007-2001",-0.4104868913864,-1.7459136797708,0.924939896998,0.999961649634586
"2008-2001",-0.620224719101461,-1.95565150748586,0.715202069282939,0.987724630640613
"2009-2001",0.188047808764781,-1.16737759228113,1.54347320981069,0.999999999974787
"2010-2001",0.33483146067381,-1.00059532771059,1.67025824905821,0.999998697700625
"2011-2001",0.922846441947371,-0.412580346437029,2.25827323033177,0.634140594572643
"2012-2001",0.486219081271992,-0.831216417637909,1.80365458018189,0.999386370158744
"2013-2001",0.346067415729967,-0.989359372654433,1.68149420411437,0.999997708224823
"2014-2001",1.31610486891367,-0.019321919470733,2.65153165729807,0.0590940217134361
"2015-2001",2.12031872509942,0.76489332405351,3.47574412614533,5.02936148072397e-06
"2016-2001",1.6194756554305,0.284048867046102,2.9549024438149,0.00276037632998249
"2017-2001",1.32014134275598,0.00270584384608052,2.63757684166588,0.0488115165666868
"2018-2001",1.49213483146046,0.156708043076059,2.82756161984486,0.0111432276170573
"2019-2001",1.58951310861402,0.254086320229617,2.92493989699842,0.0038843985756879
"2003-2002",0.506773448083564,-0.775212730874652,1.78875962704178,0.998398507086746
"2004-2002",1.26389477550807,-0.0389106104593371,2.56670016147547,0.0702710586998575
"2005-2002",1.60619842337044,0.32666256590445,2.88573428083643,0.00141243604225194
"2006-2002",-0.62412609474803,-1.88960187893086,0.641349689434797,0.975965313371309
"2007-2002",-1.23105426727274,-2.51304044623096,0.050931911685471,0.0783173622922595
"2008-2002",-1.44079209498781,-2.72277827394602,-0.15880591602959,0.0101766680057419
"2009-2002",-0.632519567121564,-1.93532495308897,0.670285818845842,0.979738949940725
