"","duration_min","attendance","temp","humidity","wind","wind chill","home_points","home_penalties","home_yards","away_points","away_penalties","away_yards","total_experience","total_penalties","highpenalty","home_win","home_advantage"
"duration_min",1,-0.0151481093084306,-0.0291951456374975,0.028264158574758,-0.0347990169834069,0.00560510148996298,0.208656012839591,0.297634602073267,0.275825054851675,0.277643880579603,0.291672822302062,0.283904127494627,0.0556819920660414,0.385294594976194,0.306341084273536,-0.022126329460741,0.000125473644871796
"attendance",-0.0151481093084306,1,-0.0623353698296664,0.0225731170937275,-0.057921132639426,0.0442327514092671,0.0439755718823839,-0.0242341057803076,-0.0188922366558638,-0.0143384772449988,-0.0104003984479982,-0.0196803322872285,0.105582757754669,-0.0224350764349668,-0.0252293690255609,0.01640263681803,0.00617237324728267
"temp",-0.0291951456374975,-0.0623353698296664,1,-0.113929571513703,-0.132028659528809,-0.520975317136826,-0.0591306537739828,0.10942900875674,0.093382472726124,0.016829776498237,0.0859201774778098,0.0647338152560536,0.00571944700071882,0.12738687311777,0.0834414485160462,-0.0374033896409097,0.00299127552593108
"humidity",0.028264158574758,0.0225731170937275,-0.113929571513703,1,-0.0328672942386944,0.0517117323447249,0.0153907993450298,-0.0297300157274952,-0.0150971892978677,-0.0203701006419661,-0.0203346537938495,-0.0207823641858961,-0.0281433442875891,-0.0325947720778363,-0.0147138779122819,0.0231892102250872,-0.0157841270207208
"wind",-0.0347990169834069,-0.057921132639426,-0.132028659528809,-0.0328672942386944,1,0.107387681447453,-0.0711876063365189,-0.0477969339048872,-0.0486162183127818,-0.0562324795020883,-0.0749059077115164,-0.0706300249833798,-0.0350882629679394,-0.0806642784056448,-0.0474092982895274,-0.034709142556048,-0.0174637122720709
"wind chill",0.00560510148996298,0.0442327514092671,-0.520975317136826,0.0517117323447249,0.107387681447453,1,0.0133260062022494,-0.0913368250370943,-0.077052949277431,0.00189597006739503,-0.0653422141916991,-0.0448905819505589,0.0463555213187619,-0.102059321741732,-0.055981706161317,0.0141592115324871,0.0184598892412287
"home_points",0.208656012839591,0.0439755718823839,-0.0591306537739828,0.0153907993450298,-0.0711876063365189,0.0133260062022494,1,-0.0371018930486391,-0.00655004920477931,-0.0513823394783727,0.0684195945709076,0.0885966194809238,0.0696491868013523,0.0221185573797587,0.00511824641998196,0.547067814432583,0.0577793230875356
"home_penalties",0.297634602073267,-0.0242341057803076,0.10942900875674,-0.0297300157274952,-0.0477969339048872,-0.0913368250370943,-0.0371018930486391,1,0.874388397868023,0.104939012124242,0.168652564956552,0.154693713986354,0.037051780657444,0.751355600874817,0.57808093820936,-0.0868604800969404,-0.491445817849819
"home_yards",0.275825054851675,-0.0188922366558638,0.093382472726124,-0.0150971892978677,-0.0486162183127818,-0.077052949277431,-0.00655004920477931,0.874388397868023,1,0.0895410325166514,0.180218017571945,0.167292091263756,0.0306302153380563,0.678902452877262,0.522264603619001,-0.0591080391052504,-0.403457000185553
"away_points",0.277643880579603,-0.0143384772449988,0.016829776498237,-0.0203701006419661,-0.0562324795020883,0.00189597006739503,-0.0513823394783727,0.104939012124242,0.0895410325166514,1,-0.00672112091690125,0.0202865698280272,0.0774560703088589,0.0624980601744367,0.0445720227055973,-0.577437489702083,-0.0770442439769114
"away_penalties",0.291672822302062,-0.0104003984479982,0.0859201774778098,-0.0203346537938495,-0.0749059077115164,-0.0653422141916991,0.0684195945709076,0.168652564956552,0.180218017571945,-0.00672112091690125,1,0.861046262300304,0.0148435075256769,0.777162925794582,0.615666464769549,0.0657722704859594,0.539652242619243
"away_yards",0.283904127494627,-0.0196803322872285,0.0647338152560536,-0.0207823641858961,-0.0706300249833798,-0.0448905819505589,0.0885966194809238,0.154693713986354,0.167292091263756,0.0202865698280272,0.861046262300304,1,0.0265315752738139,0.675223169453937,0.538412377774075,0.0580475128748787,0.467425154803839
"total_experience",0.0556819920660414,0.105582757754669,0.00571944700071882,-0.0281433442875891,-0.0350882629679394,0.0463555213187619,0.0696491868013523,0.037051780657444,0.0306302153380563,0.0774560703088589,0.0148435075256769,0.0265315752738139,1,0.0335930606763017,0.0142079988199455,-0.00640752351670462,-0.00755808922534921
"total_penalties",0.385294594976194,-0.0224350764349668,0.12738687311777,-0.0325947720778363,-0.0806642784056448,-0.102059321741732,0.0221185573797587,0.751355600874817,0.678902452877262,0.0624980601744367,0.777162925794582,0.675223169453937,0.0335930606763017,1,0.781253818278081,-0.0114219045824565,0.0475294404025567
"highpenalty",0.306341084273536,-0.0252293690255609,0.0834414485160462,-0.0147138779122819,-0.0474092982895274,-0.055981706161317,0.00511824641998196,0.57808093820936,0.522264603619001,0.0445720227055973,0.615666464769549,0.538412377774075,0.0142079988199455,0.781253818278081,1,-0.0132756166065044,0.0366328615756063
"home_win",-0.022126329460741,0.01640263681803,-0.0374033896409097,0.0231892102250872,-0.034709142556048,0.0141592115324871,0.547067814432583,-0.0868604800969404,-0.0591080391052504,-0.577437489702083,0.0657722704859594,0.0580475128748787,-0.00640752351670462,-0.0114219045824565,-0.0132756166065044,1,0.105583215903144
"home_advantage",0.000125473644871796,0.00617237324728267,0.00299127552593108,-0.0157841270207208,-0.0174637122720709,0.0184598892412287,0.0577793230875356,-0.491445817849819,-0.403457000185553,-0.0770442439769114,0.539652242619243,0.467425154803839,-0.00755808922534921,0.0475294404025567,0.0366328615756063,0.105583215903144,1
